Location Name,Work Performed Date,Location Address,Issue,Description,Labor Cost,Material Cost,Total Cost,Location
City Hall Annex,02/21/2013,25 W. Fourth St.,Graffiti,Remove graffiti from the annex,162.60,42.15,204.75,"(44.9445, -93.0946)"
McMurray Field Bldg,02/22/2013,1155 W. Jessamine Ave.,Graffiti,Graffiti on the Xcel transformer,27.10,12.03,39.13,"(44.9739, -93.149)"
Mattock Park,02/22/2013,451 Macalester,Graffiti,Graffiti throughout the park,27.10,12.03,39.13,"(44.9279, -93.1697)"
Dousman,02/27/2013,186 Dousman St,Graffiti,Graffiti throughout the park,27.10,12.03,39.13,"(44.9359, -93.1124)"
Como Lily Pond,03/04/2013,1360 Lexington Pkwy,Graffiti,African american derogatory remarks on the ledge of the pond,108.40,18.10,126.50,"(44.9821, -93.1461)"
Mounds Park,03/06/2013,185 Mounds Blvd.,Graffiti,Graffiti on the Active living bench at Cherry St.,27.10,12.03,39.13,"(44.9501, -93.0679)"
Mounds Park,03/08/2013,185 Mounds Blvd.,Graffiti,Graffiti and egg on the Active living bench at Cherry St.,27.10,12.03,39.13,"(44.9501, -93.0679)"
Landmark Plaza,03/08/2013,379 St Peter St,Graffiti,Graffiti on trash barrel on 6th Stree side,27.10,7.03,34.13,"(44.9455, -93.096)"
Sam Morgan Trail,03/08/2013,Sheppard Rd and Randolph Ave,Graffiti,Graffiti on trash barrels from Sheppard to Randolph,54.20,4.05,58.25,"(44.9271, -93.1203)"
Mounds Park,03/12/2013,185 Mounds Blvd.,Graffiti,Graffiti on the Active living bench at Cherry St.,27.10,5.00,32.10,"(44.9501, -93.0679)"
Citywide Ayd Mill Bridge,03/19/2013,,Graffiti,Graffiti on the memorial plaque on the bridge,54.20,14.05,68.25,
Edgcumbe Rec,03/19/2013,320 S. Griggs St.,Graffiti,Graffiti on the front of Building,27.10,22.03,49.13,"(44.9318, -93.1516)"
Hamline Plyground,03/21/2013,1559 Thomas Ave.,Graffiti,Graffiti on trash barrels,21.10,12.03,33.13,"(44.9593, -93.1662)"
Hamline Bridge,03/21/2013,Hamline Ave N and Ayd Mill Rd,Graffiti,Graffiti on the bridge traffic signs,54.20,14.05,68.25,"(44.9446, -93.1571)"
Hamms Plaza,03/22/2013,390 Washington,Graffiti,Graffiti on block wall,27.10,22.03,49.13,"(44.9462, -93.0973)"
Lilydale,03/26/2013,400 Water St,Graffiti,Graffiti on the boat launch sign,54.20,24.05,78.25,"(44.932, -93.1018)"
Raspberry Island,03/26/2013,2 Wabasha St S,Graffiti,Graffiti along bridge and stairwell,54.20,24.05,78.25,"(44.9422, -93.0911)"
Wabasha Brdg,03/26/2013,12 Wabasha St N,Graffiti,Graffiti on bridge stairs,54.20,24.05,78.25,"(44.9424, -93.0912)"
Cityhouse,03/26/2013,258 Mill St,Graffiti,Graffiti undernearth the deck of building,54.20,44.05,98.25,"(44.9391, -93.1004)"
Bruce Vento,03/27/2013,293 Commercial,Graffiti,Graffiti on 293 Commercial Street Building,339.62,105.64,445.26,"(44.9528, -93.0733)"
Highland Restroom,03/27/2013,1200 Montreal Ave.,Graffiti,Graffiti on building,108.40,18.10,126.50,"(44.9124, -93.1513)"
Landgford Park,03/27/2013,30 Langford Park,Graffiti,Graffiti on wall and back of building,54.20,14.05,68.25,"(44.9765, -93.1957)"
Orchard Rec,03/28/2013,875 Orchard Ave.,Graffiti,Graffiti on the west end of the building,30.70,21.65,52.35,"(44.9725, -93.1371)"
Landmark Plaza,03/29/2013,379 St Peter St,Graffiti,Graffiti on the drinking fountain,27.10,12.03,39.13,"(44.9455, -93.096)"
Mounds Park,03/29/2013,185 Mounds Blvd.,Graffiti,Graffiti on pathway near the catwalk over Sheppard,54.20,24.05,78.25,"(44.9501, -93.0679)"
Cherokee Blvd,03/29/2013,700 Cherokee Heights Boulevard,Graffiti,Graffiti on the trash barrels from Annapolis to Hgwy13,27.10,12.03,39.13,"(44.9243, -93.1074)"
Dunning Athletic,04/01/2013,1188 Concordia Ave.,Graffiti,"Graffiti on the building, benches, scoreboard",54.20,64.05,118.25,"(44.9511, -93.1504)"
Harriet Island Showboat,04/02/2013,110 Harriet Island Rd.,Graffiti,Graffiti on the restroom building,54.20,24.05,78.25,"(44.9408, -93.0911)"
Ryan park,04/03/2013,618 N. Avon,Graffiti,Graffiti on totlot slide and rock climber,27.10,22.03,49.13,"(44.9599, -93.1339)"
Hamline playground,04/03/2013,1559 Thomas Ave.,Graffiti,Graffiti on totlot tube slide,27.10,12.03,39.13,"(44.9593, -93.1662)"
Mounds park,04/04/2013,185 Mounds Blvd.,Graffiti,Graffiti and egg on Cherry Street bench,108.40,39.92,148.32,"(44.9501, -93.0679)"
Prosperity Park,04/08/2013,1371 Kennard St.,Graffiti,Graffiti on garage building,162.60,52.15,214.75,"(44.9827, -93.0304)"
Citywide,04/08/2013,1324 W 7th St,Graffiti,Graffiti on building at 1324 W 7th Street,54.20,14.05,68.25,"(44.9214, -93.136)"
Swede Hollow,04/09/2013,651 Greenbrier St. E.,Graffiti,Graffiti in the bridge tunnel,108.40,58.10,166.50,"(44.9606, -93.0711)"
Como Regional,04/09/2013,1281 W. Como Blvd.,Graffiti,Graffiti on Horton Bridge and area,108.40,48.10,156.50,"(44.9776, -93.1539)"
High Bridge (South),04/10/2013,381 Cherokee Ave.,Graffiti,Graffiti on High Bridge abutment,108.40,28.10,136.50,"(44.9309, -93.1018)"
Raspberry Island,04/10/2013,2 Wabasha St S,Graffiti,Graffiti on restroom doors and building,54.20,44.05,98.25,"(44.9422, -93.0911)"
Front Skatepark,04/16/2013,485 Stinson St.,Graffiti,Graffiti throughout the skate park,54.20,44.05,98.25,"(44.9693, -93.1205)"
Dickerman,04/16/2013,1753 University Ave,Graffiti,Graffiti on sidewalk and park sign,81.30,66.08,147.38,"(44.9558, -93.1745)"
Upper Landing,04/22/2013,200 Shepard Rd.,Graffiti,Graffiti on pavers and fountain,54.20,24.05,78.25,"(44.9409, -93.0988)"
Citywide,04/24/2013,W Taylor Ave and Young St,Graffiti,Graffiti on sidewalk Young & Taylor,30.17,1.65,31.82,"(44.9677, -93.1734)"
Citywide,04/24/2013,33 W 7th Pl,Graffiti,Graffiti and stickers on signs and posts by Wild Times,60.35,23.31,83.66,"(44.9468, -93.0971)"
Phalen Rec,04/25/2013,1000 E. Wheelock Pkwy.,Graffiti,Graffiti on building near front entrance,108.40,28.10,136.50,"(44.984, -93.0581)"
Linwood Rec,04/29/2013,860 St. Clair Ave.,Graffiti,Graffiti on the southeast corner of the building,81.30,106.08,187.38,"(44.9341, -93.1364)"
Linwood Rec,04/29/2013,860 St. Clair Ave.,Graffiti,Graffiti on the southwest end on deck,81.30,66.08,147.38,"(44.9341, -93.1364)"
Mississippi River Blvd,04/29/2013,269 Mississippi River Blvd S,Graffiti,Graffiti near bridge between Goodrich and St. Clair,81.30,106.08,187.38,"(44.9334, -93.1986)"
Hidden Falls North,04/30/2013,1415 Mississippi River Blvd,Graffiti,Graffiti on the womens restroom door,54.20,24.05,78.25,"(44.9065, -93.1893)"
Citywide Graffiti,05/01/2013,Arundel St and Charles Ave,Graffiti,Graffiti on sidewalk on the corner of Charle and Arundel,30.17,17.01,47.18,"(44.9576, -93.1187)"
High Bridge Park South,05/02/2013,381 Cherokee Ave.,Graffiti,Graffiti on the bridge abutment,54.20,64.05,118.25,"(44.9309, -93.1018)"
Cherokee Park,05/02/2013,700 Cherokee Heights Boulevard,Graffiti,Graffiti on benches and signs,108.40,28.10,136.50,"(44.9243, -93.1074)"
Sam Morgan Trail,05/02/2013,59 Randolph Ave,Graffiti,Graffiti on light poles,54.20,24.05,78.25,"(44.9339, -93.1062)"
Newell Park,05/06/2013,900 N. Fairview Ave.,Graffiti,"Graffiti all over park, tables, signs",216.80,36.20,253.00,"(44.968, -93.1759)"
Swede Hollow,05/07/2013,651 Greenbrier St. E.,Graffiti,"Graffiti on pathway, retaining wall and hill side",108.40,28.10,136.50,"(44.9606, -93.0711)"
Prospect Park,05/07/2013,399 Bellows St.,Graffiti,"Graffiti on barrel, sidewalk, bench",108.40,44.05,152.45,"(44.9339, -93.0934)"
W. Minnehaha,05/07/2013,685 W. Minnehaha Ave.,Graffiti,Graffiti on power box,54.20,14.05,68.25,"(44.963, -93.1292)"
Harriet Island Pav,05/07/2013,200 Dr Justice Ohage Blvd,Graffiti,Graffiti on the door and building,108.40,68.10,176.50,"(44.9368, -93.0975)"
Eastview Rec,05/08/2013,1675 Fifth St. E.,Graffiti,Graffiti on play equipment and park,54.20,34.05,88.25,"(44.9596, -93.0296)"
Edgecumbe Rec,05/08/2013,320 S. Griggs St.,Graffiti,Graffiti on back of building and light poles,108.40,68.10,176.50,"(44.9318, -93.1516)"
McQuillian Park,05/13/2013,507 Laurel Ave.,Graffiti,Graffiti on slide,54.20,14.05,68.25,"(44.9455, -93.1216)"
Marydale Park,05/13/2013,1120 N. Dale St.,Graffiti,Graffiti on picnic tables and throughout park,54.20,44.05,98.25,"(44.9748, -93.1263)"
Mounds Park,05/13/2013,185 Mounds Blvd.,Graffiti,Graffiti on electrical box,54.20,24.05,78.25,"(44.9501, -93.0679)"
Landmark Plaza,05/13/2013,379 St Peter St,Graffiti,Graffiti on trash barreld,61.41,3.31,64.72,"(44.9455, -93.096)"
Shepard Road,05/15/2013,1310 Shepard Rd.,Graffiti,Graffiti in the tunnel at 35 W and Shepard,54.20,44.05,98.25,"(44.9195, -93.1307)"
Como Regional,05/15/2013,1281 W. Como Blvd.,Graffiti,Graffiti on street signs throughout the park,54.20,14.05,68.25,"(44.9776, -93.1539)"
Citywide Graffiti,05/15/2013,453 Snelling Ave,Graffiti,Graffiti at 453 Snelling,30.17,11.65,41.82,"(44.9546, -93.1671)"
Hidden Falls,05/15/2013,1415 Mississippi River Blvd,Graffiti,Graffiti on cross country ski hut,231.22,34.72,265.94,"(44.9065, -93.1893)"
Raspberry island,05/15/2013,2 Wabasha St S,Graffiti,"Graffiti on benches, bandstand, and electrical box",169.81,41.41,211.22,"(44.9422, -93.0911)"
Eastview Rec,05/17/2013,1675 Fifth St. E.,Graffiti,Graffiti severalo locations at the site,115.61,22.36,137.97,"(44.9596, -93.0296)"
Harrite Island,05/17/2013,200 Dr Justice Ohage Blvd,Graffiti,Graffiti on doors of building,115.61,22.36,137.97,"(44.9368, -93.0975)"
Lexington Parkway,05/19/2013,350 Lexington Parkway North,Graffiti,Graffiiti in pedestrian tunnel,30.17,21.65,51.82,"(44.9517, -93.1464)"
Marydale Park,05/22/2013,1120 N. Dale St.,Graffiti,Graffiti on inside and outside of the building,401.03,176.13,577.16,"(44.9748, -93.1263)"
Eastview Rec,05/23/2013,1675 Fifth St. E.,Graffiti,Graffiti on electrical transformer and building,54.20,44.05,98.25,"(44.9596, -93.0296)"
High Bridge Park South,05/24/2013,381 Cherokee Ave.,Graffiti,Graffiti on trash can,54.20,24.05,78.25,"(44.9309, -93.1018)"
35 E Path,05/24/2013,,Graffiti,Graffiti on the sound wall along the pathway,54.20,14.05,68.25,
Eastview Rec,05/29/2013,1675 Fifth St. E.,Graffiti,Graffiti on electrical transformer and building,54.20,24.05,78.25,"(44.9596, -93.0296)"
Kellogg Park,05/29/2013,42 E. Kellogg Blvd.,Graffiti,Graffiti on the lower fountain,54.20,24.05,78.25,"(44.9445, -93.0914)"
Como Regional,05/30/2013,1281 W. Como Blvd.,Graffiti,Graffiti on benches and trees,254.72,77.12,331.84,"(44.9776, -93.1539)"
Hillcrest Rec,05/30/2013,1978 Ford Pkwy.,Graffiti,Graffiti on the south side of the building,169.81,41.41,211.22,"(44.9178, -93.1838)"
Eastview Rec,05/31/2013,1675 Fifth St. E.,Graffiti,Graffiti on north side of building,162.60,52.15,214.75,"(44.9596, -93.0296)"
Highland Park Picnic,06/05/2013,1200 Montreal Ave.,Graffiti,Graffiti on the picnic tables,169.81,41.41,211.22,"(44.9124, -93.1513)"
Newell Park,06/05/2013,900 N. Fairview Ave.,Graffiti,Graffiti on the basketball court,169.81,51.41,221.22,"(44.968, -93.1759)"
Lexington Parkway,06/05/2013,350 Lexington Parkway North,Graffiti,Graffiti in the pedestrian tunnel,60.35,28.31,88.66,"(44.9517, -93.1464)"
Bruce Vento Park,06/05/2013,265 Commerical St,Graffiti,"Graffiti on trash can, building and signs",339.62,62.82,402.44,"(44.9527, -93.0739)"
Meeker Island,06/06/2013,430 N Mississippi River Blvd,Graffiti,Graffiti on the retaining wall,169.81,36.41,206.22,"(44.9534, -93.2041)"
Baker CC,06/07/2013,209 W. Page St.,Graffiti,Graffiti on basketball backboard,61.41,23.31,84.72,"(44.9247, -93.0944)"
Citywide Graffiti,06/09/2013,,Graffiti,Address?,30.17,1.65,31.82,
Como Golf Pump house,06/09/2013,1431 Lexington Parkway North,Graffiti,Graffiti on the pump house,169.81,51.41,221.22,"(44.9842, -93.1432)"
Citywide Graffiti,06/12/2013,,Graffiti,,30.17,1.65,31.82,
Griggs Rec,06/13/2013,1188 Hubbard Ave.,Graffiti,Graffiti on building,115.61,27.36,142.97,"(44.9656, -93.1504)"
Harriet Island Pav,06/14/2013,110 Harriet Island Rd.,Graffiti,Graffiti in womens restroom,61.89,4.05,65.94,"(44.9408, -93.0911)"
Tilden Park,06/18/2013,1536 Almond Ave.,Graffiti,Graffiti on benches and picnic tables,27.10,12.03,39.13,"(44.9791, -93.1651)"
Prospect Park,06/18/2013,180 Delos St,Graffiti,Graffiti from trash barrel and bench,54.20,44.05,98.25,"(44.9339, -93.0933)"
Citywide Graffiti,06/18/2013,Grand Ave and Victoria St,Graffiti,Corner of Grand and Victoria,27.10,2.03,29.13,"(44.9399, -93.1364)"
Eastside Boys and Girls Club,06/20/2013,1620 Ames Ave,Graffiti,Graffiti on Sackett Memorial plaque,108.40,48.10,156.50,"(44.9741, -93.032)"
Higg Bridge Park,06/21/2013,381 Cherokee Ave.,Graffiti,Graffiti in park and trash barrels,54.20,44.05,98.25,"(44.9309, -93.1018)"
Como Campus,06/21/2013,1325 Aida Place,Graffiti,Graffiti in palm and butterfly parking lots,570.84,100.78,671.62,"(44.9816, -93.1504)"
Dunning Athletic Bldg.,06/21/2013,1188 Concordia Ave.,Graffiti,Graffiti on community garden sign,169.81,51.41,221.22,"(44.9511, -93.1504)"
Prospect Park,06/21/2013,180 Delos St,Graffiti,Graffiti on park benches and area,54.20,24.05,78.25,"(44.9339, -93.0933)"
Duluth & Case,06/24/2013,1020 Duluth St.,Graffiti,Graffiti on entrance door,54.20,24.05,78.25,"(44.9721, -93.0507)"
McQuilan Park,06/24/2013,507 Laurel Ave.,Graffiti,Graffiti on sidewalk and tennis court,54.20,24.05,78.25,"(44.9455, -93.1216)"
Linwood Rec,06/26/2013,860 St. Clair Ave.,Graffiti,"Graffiti on building, stairs, totlot, fields",108.40,33.10,141.50,"(44.9341, -93.1364)"
Northdale Rec,06/26/2013,1414 N. St. Albans St.,Graffiti,Graffiti on NW corner of parking lot,27.10,12.03,39.13,"(44.9838, -93.1286)"
Eastview Rec,06/27/2013,1675 Fifth St. E.,Graffiti,Graffiti on electrical transformer and building,27.10,7.03,34.13,"(44.9596, -93.0296)"
Mounds Park Pavillion,06/27/2013,185 Mounds Blvd.,Graffiti,Graffiti on Street car Building,54.20,24.05,78.25,"(44.9501, -93.0679)"
Hillcrest Rec,06/28/2013,1978 Ford Pkwy.,Graffiti,Graffiti on south exterior wal,54.20,14.05,68.25,"(44.9178, -93.1838)"
Orchard Rec,07/03/2013,875 Orchard Ave.,Graffiti,Graffiti on north side of building exterior,54.20,24.05,78.25,"(44.9725, -93.1371)"
Linwood Rec,07/05/2013,860 St. Clair Ave.,Graffiti,Graffiti on the east and south side of building,54.20,24.05,78.25,"(44.9341, -93.1364)"
Citywide Graffiti,07/05/2013,W University Ave and N Griggs St,Graffiti,Graffiti on the NW corner of University and Griggs,54.20,19.05,73.25,"(44.9558, -93.1517)"
Dunning Rec,07/08/2013,1221 Marshall Ave.,Graffiti,Graffiti on the rock on west side of building,54.20,24.05,78.25,"(44.9486, -93.1518)"
Highland Picnic,07/10/2013,1200 Montreal Ave.,Graffiti,Graffiti on tot lot,84.91,25.71,110.62,"(44.9124, -93.1513)"
Hillcrest Rec,07/10/2013,1978 Ford Pkwy.,Graffiti,Graffiti on stairs at Kenneth and Bohland,84.91,40.71,125.62,"(44.9178, -93.1838)"
Hidden Falls,07/10/2013,1415 Mississippi River Blvd,Graffiti,Graffiti in mens room,84.91,25.71,110.62,"(44.9065, -93.1893)"
Webster Magnet,07/11/2013,709 Holly Ave.,Graffiti,Graffiti on tennis court,27.10,22.03,49.13,"(44.9432, -93.13)"
Citywide Graffiti,07/11/2013,St Anthony Ave and N Wheeler St,Graffiti,Graffiti on the curb at Wheeler and St. Anthony,60.35,23.31,83.66,"(44.9525, -93.1746)"
Hamline Playground,07/12/2013,1559 Thomas Ave.,Graffiti,Graffiti on the tot lot,27.10,22.03,49.13,"(44.9593, -93.1662)"
Eastview Rec,07/12/2013,1675 Fifth St. E.,Graffiti,"Graffiti on building , totlot and courts",54.20,44.05,98.25,"(44.9596, -93.0296)"
Western Park,07/16/2013,387 Marion St.,Graffiti,Graffiti on the blue and brown statue,27.10,22.03,49.13,"(44.9531, -93.1097)"
Carty Park,07/16/2013,694 Carroll Ave.,Graffiti,Graffiti on the slide,54.20,24.05,78.25,"(44.9503, -93.1295)"
Hamline Playground,07/16/2013,1559 Thomas Ave.,Graffiti,Graffiti on benches and tot lot,54.20,24.05,78.25,"(44.9593, -93.1662)"
Como Lakeside Pav,07/16/2013,1360 N. Lexington Pkwy.,Graffiti,Graffiti in the rest rooms,54.20,14.05,68.25,"(44.9821, -93.1461)"
May Park,07/16/2013,816 Clayland St,Graffiti,Graffiti on the corner of Greenbriar,27.10,7.03,34.13,"(44.9658, -93.1784)"
Wabasha Bridge,07/16/2013,1 Wabasha St S,Graffiti,Graffiti on the NW corner of Wabasha and Kellogg,27.10,12.03,39.13,"(44.9422, -93.0914)"
PED  276 Nuggent,07/17/2013,276 Nugent St,Graffiti,Graffiti on Property 276 Nuggent,30.17,16.65,46.82,"(44.9326, -93.1176)"
St. Cair Rec,07/18/2013,265 Oneida St.,Graffiti,Graffiti on the exterior of the building,108.40,48.10,156.50,"(44.9334, -93.1233)"
Hillcrest Rec,07/18/2013,1978 Ford Pkwy.,Graffiti,Graffiti on SE exterior of building,54.20,24.05,78.25,"(44.9178, -93.1838)"
Linwood Rec,07/18/2013,860 St. Clair Ave.,Graffiti,Graffiti on maintenance garage door,108.40,68.10,176.50,"(44.9341, -93.1364)"
Newell Park,07/19/2013,900 N. Fairview Ave.,Graffiti,Graffiti in the restrooms and picnic shelters,108.40,28.10,136.50,"(44.968, -93.1759)"
Linwood Rec,07/25/2013,860 St. Clair Ave.,Graffiti,Graffiti on the SW side of building,54.20,29.05,83.25,"(44.9341, -93.1364)"
St. Cair Rec,07/25/2013,265 Oneida St.,Graffiti,Graffiti on tot lot,27.10,12.03,39.13,"(44.9334, -93.1233)"
Highland Picnic,07/25/2013,1200 Montreal Ave.,Graffiti,Graffiti on picnic shelter columns,27.10,12.03,39.13,"(44.9124, -93.1513)"
Weida Playground,07/25/2013,637 Burr St.,Graffiti,Graffiti on totlot bball court and benches,27.10,12.03,39.13,"(44.9605, -93.0799)"
W. Minnehaha,07/30/2013,685 W. Minnehaha Ave.,Graffiti,Graffiti on the rec sign,27.10,12.03,39.13,"(44.963, -93.1292)"
Swede Hollow,07/31/2013,651 Greenbrier St. E.,Graffiti,Graffiti in the pedestrian tunnel,60.35,13.31,73.66,"(44.9606, -93.0711)"
Citywide Graffiti,07/31/2013,Jackston St and 5th St E,Graffiti,Graffiti on trash bin along 5th between Jackson and Sibley,30.17,16.65,46.82,"(44.948, -93.0895)"
Crosby Park,08/02/2013,2530 Sheppard Rd.,Graffiti,Graffiti on patio,108.40,48.10,156.50,"(44.8979, -93.1682)"
Bruce Vento,08/05/2013,293 Commercial,Graffiti,Graffiti on the 293 Commercial Bldg.,54.20,24.05,78.25,"(44.9528, -93.0733)"
Shepard and Otto,08/07/2013,Shepard Rd and Otto Ave,Graffiti,Graffiti in area,60.35,28.31,88.66,"(44.9194, -93.1312)"
Citywide Graffiti,08/13/2013,Flandrau St and Ross Ave E,Graffiti,Graffiti on the se corner of Flandrau and Ross,60.35,28.31,88.66,"(44.9766, -93.0278)"
St. Clair,08/14/2013,265 Oneida St.,Graffiti,Graffiti on sidewalk and bldg.,54.20,14.05,68.25,"(44.9334, -93.1233)"
Daytons Bluff,08/14/2013,800 Conway St.,Graffiti,Graffiti on the bench,27.10,2.03,29.13,"(44.9556, -93.0671)"
PED  433 Sherburne,08/19/2013,433 Sherburne Ave,Graffiti,Graffiti on the Garage,30.17,21.65,51.82,"(44.9567, -93.1184)"
Mattocks,08/19/2013,451 Macalester,Graffiti,Graffiti on the est side of the bldg,27.10,2.03,29.13,"(44.9279, -93.1697)"
Hamline Plgrd,08/20/2013,1559 Thomas Ave.,Graffiti,Graffiti on bldg,27.10,22.03,49.13,"(44.9593, -93.1662)"
Citywide Graffiti,08/20/2013,2288 University Ave,Graffiti,Graffiti on sidewalk of 2288 University,30.17,26.65,56.82,"(44.9626, -93.1945)"
Citywide Graffiti,08/20/2013,294 Dayton Ave,Graffiti,Graffiti on sidewalk of 294 Dayton,30.17,1.65,31.82,"(44.9473, -93.1124)"
Citywide Graffiti,08/20/2013,533 Stryker Ave,Graffiti,Remove graffiti from 533 Stryker,30.17,21.36,51.53,"(44.9299, -93.0882)"
Highland Pump House,08/20/2013,1321 Montreal Ave,Graffiti,Graffit on the old pump and pool house,54.20,54.05,108.25,"(44.9125, -93.156)"
Citywide Graffiti,08/20/2013,Charles Ave and N Albert St,Graffiti,Graffiti Charles and Albert round about,30.17,11.65,41.82,"(44.9575, -93.1594)"
Citywide Graffiti,08/21/2013,1503 Almond Ave W,Graffiti,Sidewalk of 1503 Almond,30.17,16.65,46.82,"(44.9792, -93.1637)"
Hillcrest Rec,08/21/2013,1978 Ford Pkwy.,Graffiti,Graffiti on building and  tennis court,27.10,12.03,39.13,"(44.9178, -93.1838)"
Palace,08/21/2013,781 Palace Ave.,Graffiti,Graffiti throughout the park,27.10,12.03,39.13,"(44.9292, -93.1329)"
Frost Lake,08/26/2013,1518 E. Idaho Ave.,Graffiti,Remove graffiti from path ways,54.20,4.05,58.25,"(44.9901, -93.0366)"
Swede Hollow,08/26/2013,651 Greenbrier St. E.,Graffiti,Graffiti in the pedestrian tunnel,60.35,28.31,88.66,"(44.9606, -93.0711)"
Hillcrest Rec,08/26/2013,1978 Ford Pkwy.,Graffiti,Graffiti on totlot,27.10,12.03,39.13,"(44.9178, -93.1838)"
Citywide Graffiti,08/26/2013,136 Morton Ave,Graffiti,Graffiti on sidewalk 136 Morton,30.17,26.65,56.82,"(44.9255, -93.0913)"
Dunning Rec,08/26/2013,1221 Marshall Ave.,Graffiti,Graffiti on totlot bubble window,27.10,12.03,39.13,"(44.9486, -93.1518)"
Citywide Graffiti,08/26/2013,567 Stryker Ave,Graffiti,Graffiti at 567 Stryker,30.17,21.65,51.82,"(44.9289, -93.0882)"
Lower Landing,08/26/2013,200 Warner Rd,Graffiti,Graffiti from Lamberts Landing walls,54.20,29.05,83.25,"(44.9457, -93.0855)"
Citywide Graffiti,08/26/2013,Maryland Ave E and Jackson St,Graffiti,Graffiti at trail head at Jackson and maryland,27.10,12.03,39.13,"(44.977, -93.0964)"
Citywide Graffiti,08/26/2013,229 Selby Ave,Graffiti,Graffiti on the Civli War monument by Cathedral,27.10,13.03,40.13,"(44.9466, -93.1095)"
Lewis,08/27/2013,181 Wayzata St.,Graffiti,Graffiti on totlot and plash pad and turf,108.40,28.10,136.50,"(44.9691, -93.1077)"
Pierce Butler,08/27/2013,60 Ruth St S,Graffiti,Graffiti from Trailers nad Bldg.,216.08,141.20,357.28,"(44.9392, -93.0149)"
Citywide Graffiti,08/27/2013,Maryland Ave E and Jackson St,Graffiti,Graffiti at Jackson and Maryland Trilium Park,30.17,1.65,31.82,"(44.977, -93.0964)"
Newell Park,08/28/2013,900 N. Fairview Ave.,Graffiti,Graffiti on the restroom doors,54.20,24.05,78.25,"(44.968, -93.1759)"
Central Village,08/28/2013,457 Central Ave W,Graffiti,Graffiti on concrete through out the park,54.20,24.05,78.25,"(44.9531, -93.1194)"
Linwood Rec,08/29/2013,860 St. Clair Ave.,Graffiti,Graffiti on the southeast side of the building,108.40,28.10,136.50,"(44.9341, -93.1364)"
Burns Ave Park,09/03/2013,1463 Burns Ave,Graffiti,Graffiti on picnic table and totlot,54.20,14.05,68.25,"(44.9488, -93.0385)"
