Num,School,Tot_Enroll,Male%,White%,Black%,Asian%,FRP%,ELL%,SPED%,Homeless%
528.0,Linwood Monroe Arts Plus Upper,472.0,45.55,29.03,32.2,19.28,62.92%,28.81%,20.97%,1.27%
533.0,Nokomis Montessori North Campus,362.0,51.1,22.65,8.56,52.49,58.84%,41.71%,10.77%,1.10%
534.0,Nokomis Montessori South Campus,267.0,56.55,25.84,11.99,41.2,55.81%,34.83%,15.36%,0.00%
541.0,Phalen Lake Hmong Studies Magnet,651.0,52.23,0.92,3.84,87.86,80.49%,70.05%,6.91%,0.15%
545.0,Randolph Heights Elementary,447.0,51.68,64.65,13.2,6.26,28.41%,12.30%,5.15%,0.45%
551.0,Riverview West School Of Excellence,391.0,51.41,7.67,20.2,3.58,76.73%,50.38%,12.02%,1.28%
552.0,Paul & Sheila Wellstone Elementary,537.0,51.96,5.03,21.97,16.95,81.94%,59.03%,17.13%,1.86%
557.0,St. Anthony Park Elementary,515.0,50.87,60.97,11.46,11.07,25.44%,16.50%,9.51%,0.00%
558.0,Saint Paul Music Academy,637.0,48.19,3.45,21.19,57.3,88.38%,58.24%,13.50%,1.26%
578.0,Obama Service Learning Elementary,367.0,54.5,6.27,69.21,8.17,84.20%,14.17%,15.80%,7.08%
579.0,American Indian Magnet School,642.0,51.56,5.14,17.29,26.79,81.93%,28.50%,18.85%,3.74%
0.0,Mpls_District_All,35580.0,51.35,35.35,35.3,5.02,56.90%,20.52%,17.02%,1.50%
0.0,State_All,889304.0,51.51,65.7,11.2,6.86,36.38%,8.36%,16.18%,0.91%
