Building Type,Building Name,Street,Zip,Phone,URL,Off Street Parking,Paking Spaces,Accessible Parking Spaces,Location
Firehouse,Station 17,1226 Payne Avenue,55101,651-776-1683,https://www.stpaul.gov/departments/fire-safety/fire-stations/station-17,No Data Available,-1,-1,"1226 Payne Avenue55101
(44.978075, -93.07353)"
Firehouse,Station 22,225 Front Avenue,55117,651-489-1004,https://www.stpaul.gov/departments/fire-paramedics/fire-stations/station-22,No Data Available,-1,-1,"225 Front Avenue55117
(44.97021, -93.109423)"
Library,Rice Street,1011 Rice Street,55117,651-558-2223,http://www.sppl.org/about/locations/rice-street,No Data Available,-1,-1,"1011 Rice Street55117
(44.971687, -93.105949)"
Firehouse,Station 1,1000 West 7th Street,55102,651-224-2779,https://www.stpaul.gov/departments/fire-paramedics/fire-stations/station-1,No Data Available,-1,-1,"1000 West 7th Street55102
(44.927477, -93.127065)"
Library,Hamline Midway,1558 W Minnehaha Avenue,55104,651-642-0293,http://www.sppl.org/about/locations/hamline-midway,No Data Available,-1,-1,"1558 W Minnehaha Avenue55104
(44.962886, -93.166154)"
Firehouse,Station 5,860 Ashland Avenue,55104,651-224-3401,https://www.stpaul.gov/departments/fire-paramedics/fire-stations/station-5,No Data Available,-1,-1,"860 Ashland Avenue55104
(44.943902, -93.136682)"
Firehouse,Station 7,1038 Ross Avenue,55106,651-776-7038,https://www.stpaul.gov/departments/fire-paramedics/fire-stations/station-7,No Data Available,-1,-1,"1038 Ross Avenue55106
(44.965791, -93.056791)"
Recreation Center,Scheffer Rec Center,237 Thomas Avenue,55103,651-298-5820,https://www.stpaul.gov/scheffer-recreation-center,No,0,0,"237 Thomas Avenue55103
(44.959386, -93.110538)"
Library,George Latimer Central Library,90 W 4th St,55102,651-266-7000,http://www.sppl.org/about/locations/central-library,No Data Available,-1,-1,"90 W 4th St55102
(44.944123, -93.097281)"
Library,Merriam Park,1831 Marshall Avenue,55104,651-642-0385,http://www.sppl.org/about/locations/merriam-park,No Data Available,-1,-1,"1831 Marshall Avenue55104
(44.948458, -93.177612)"
Library,Hayden Heights,1456 White Bear Avenue,55106,651-793-3934,http://www.sppl.org/about/locations/hayden-heights,No Data Available,-1,-1,"1456 White Bear Avenue55106
(44.985233, -93.025225)"
Recreation Center,El Rio Vista Rec Center,179 E Robie Street,55107,651-789-2500,https://www.stpaul.gov/el-rio-vista-recreation-center-wellstone-community-center,Yes,150,0,"179 E Robie Street55107
(44.930531, -93.07705)"
Recreation Center,Hayden Heights Rec Center,1965 Hoyt Avenue E,55119,651-298-5716,https://www.stpaul.gov/hayden-heights-recreation-center,Yes,11,1,"1965 Hoyt Avenue E55119
(44.988314, -93.017553)"
Firehouse,Station 18,681 University Avenue,55103,651-224-6896,https://www.stpaul.gov/departments/fire-safety/fire-stations/station-18,No Data Available,-1,-1,681 University Avenue55103
Recreation Center,Edgcumbe Rec Center,320 S Griggs Street,55105,651-695-3711,https://www.stpaul.gov/edgcumbe-recreation-center,Yes,8,1,"320 S Griggs Street55105
(44.931528, -93.151709)"
Library,Dayton's Bluff,645 E 7th Street,55106,651-793-1699,http://www.sppl.org/about/locations/daytons-bluff,No Data Available,-1,-1,"645 E 7th Street55106
(44.957428, -93.075137)"
Recreation Center,Northwest Como Rec Center,1550 Hamline Avenue,55108,651-298-5813,https://www.stpaul.gov/northwest-como-recreation-center,Yes,12,2,"1550 Hamline Avenue55108
(44.987351, -93.156643)"
Recreation Center,Groveland Rec Center,2021 Street. Clair Avenue,55105,651-695-3714,https://www.stpaul.gov/groveland-recreation-center,No,0,0,"2021 Street. Clair Avenue55105
(44.93431, -93.186064)"
Recreation Center,Arlington Hills Comm Center,1200 Payne Avenue,55130,651-632-3861,http://arlingtonhillscc.com/,Yes,103,3,"1200 Payne Avenue55130
(44.977456, -93.073523)"
Recreation Center,Linwood Rec Center,860 St Clair Avenue,55105,651-298-5660,https://www.stpaul.gov/linwood-recreation-center,Yes,25,3,"860 St Clair Avenue55105
(44.93413, -93.1364)"
Recreation Center,Palace Rec Center,781 Palace Avenue,55102,651-298-5677,https://www.stpaul.gov/palace-recreation-center,No,0,0,"781 Palace Avenue55102
(44.929149, -93.132409)"
