index1,Grid,Block,For_Address,Latitude,Longitude,Fail
105,88.0,66x edmund av,"660 Edmund Ave W, St Paul, MN 55104, USA",44.958203,-93.128067,True
106,88.0,66x lafond av,"660 Lafond Ave, St Paul, MN 55104, USA",44.9600339,-93.1281047,True
107,88.0,66x minnehaha av w,"660 W Minnehaha Ave, St Paul, MN 55104, USA",44.9627093,-93.1280884,True
108,88.0,66x sherburne av,"660 Sherburne Ave, St Paul, MN 55104, USA",44.9564291,-93.1280326,True
109,88.0,66x thomas av,"660 Thomas Ave W, St Paul, MN 55104, USA",44.9591737,-93.1279222,True
110,88.0,66x university av w,"660 University Ave W, St Paul, MN 55104, USA",44.95543259999999,-93.12810999999999,True
111,88.0,66x vanburen av,"660 Van Buren Ave, St Paul, MN 55104, USA",44.9618315,-93.12807029999999,True
112,88.0,66x victoria st n,"660 Victoria St N, St Paul, MN 55103, USA",44.9702096,-93.1364708,True
113,88.0,67x blair av,"670 Blair Ave, St Paul, MN 55104, USA",44.9609718,-93.12844299999999,True
114,88.0,67x charles av,"670 Charles Ave, St Paul, MN 55104, USA",44.957329,-93.1284379,True
115,88.0,67x dale st n,"670 Dale St N, St Paul, MN 55103, USA",44.961446,-93.126038,True
116,88.0,67x edmund av,"670 Edmund Ave W, St Paul, MN 55104, USA",44.9582589,-93.128402,True
117,88.0,67x lafond av,"670 Lafond Ave, St Paul, MN 55104, USA",44.9600242,-93.1284574,True
118,88.0,67x minnehaha av w,"670 W Minnehaha Ave, St Paul, MN 55104, USA",44.9627922,-93.1284848,True
119,88.0,67x sherburne av,"670 Sherburne Ave, St Paul, MN 55104, USA",44.9564283,-93.1284496,True
120,88.0,67x thomas av,"670 Thomas Ave W, St Paul, MN 55104, USA",44.9591504,-93.1284404,True
121,88.0,67x vanburen av,"670 Van Buren Ave, St Paul, MN 55104, USA",44.9618842,-93.1283855,True
122,88.0,68x blair av,"680 Blair Ave, St Paul, MN 55104, USA",44.9611567,-93.1289405,True
123,88.0,68x charles av,"680 Charles Ave, St Paul, MN 55104, USA",44.9575387,-93.12894659999999,True
124,88.0,68x dale st n,"680 Dale St N, St Paul, MN 55103, USA",44.96172809999999,-93.1260167,True
125,88.0,68x edmund av,"680 Edmund Ave W, St Paul, MN 55104, USA",44.95843989999999,-93.12894419999999,True
126,88.0,68x lafond av,"680 Lafond Ave, St Paul, MN 55104, USA",44.9602525,-93.1289463,True
127,88.0,68x minnehaha av w,"680 W Minnehaha Ave, St Paul, MN 55104, USA",44.962774,-93.129151,True
128,88.0,68x sherburne av,"680 Sherburne Ave, St Paul, MN 55104, USA",44.9566276,-93.12893749999999,True
129,88.0,68x stalbans st n,"680 St Albans St N, St Paul, MN 55104, USA",44.9616753,-93.1286968,True
130,88.0,68x thomas av,"680 Thomas Ave W, St Paul, MN 55104, USA",44.9591322,-93.1291066,True
131,88.0,68x university av w,"680 University Ave W, St Paul, MN 55104, USA",44.9552699,-93.1291372,True
132,88.0,68x vanburen av,"680 Van Buren Ave, St Paul, MN 55104, USA",44.9620562,-93.128959,True
133,88.0,68x wells st,"680 Wells St, St Paul, MN 55106, USA",44.96729999999999,-93.07182399999999,False
134,88.0,69x blair av,"690 Blair Ave, St Paul, MN 55104, USA",44.960945,-93.12942269999999,True
135,88.0,69x charles av,"690 Charles Ave, St Paul, MN 55104, USA",44.9573386,-93.1294214,True
136,88.0,69x dale st n,"690 Dale St N, St Paul, MN 55103, USA",44.9622036,-93.1263342,True
137,88.0,69x edmund av,"690 Edmund Ave W, St Paul, MN 55104, USA",44.9582124,-93.1294384,True
138,88.0,69x lafond av,"690 Lafond Ave, St Paul, MN 55104, USA",44.9600701,-93.12944499999999,True
139,88.0,69x sherburne av,"690 Sherburne Ave, St Paul, MN 55104, USA",44.9564209,-93.129448,True
140,88.0,69x stalbans st n,"690 St Albans St N, St Paul, MN 55104, USA",44.962026,-93.1289164,True
141,88.0,69x thomas av,"690 Thomas Ave W, St Paul, MN 55104, USA",44.9590873,-93.1294161,True
142,88.0,69x university av w,"690 University Ave W, St Paul, MN 55104, USA",44.9554633,-93.1293919,True
143,88.0,69x vanburen av,"690 Van Buren Ave, St Paul, MN 55104, USA",44.9618916,-93.12944759999999,True
144,88.0,70x blair av,"700 Blair Ave, St Paul, MN 55104, USA",44.9608947,-93.1298194,True
145,88.0,70x charles av,"700 Charles Ave, St Paul, MN 55104, USA",44.9573158,-93.1298113,True
146,88.0,70x dale st n,"700 Dale St N, St Paul, MN 55103, USA",44.9624135,-93.12596320000002,True
147,88.0,70x edmund av,"700 Edmund Ave W, St Paul, MN 55104, USA",44.9582655,-93.1298274,True
148,88.0,70x grotto st n,"700 Grotto St N, St Paul, MN 55104, USA",44.9623413,-93.1310517,True
149,88.0,70x lafond av,"700 Lafond Ave, St Paul, MN 55104, USA",44.9600583,-93.12987609999999,True
150,88.0,70x minnehaha av w,"700 W Minnehaha Ave, St Paul, MN 55104, USA",44.962729,-93.1298412,True
151,88.0,70x sherburne av,"700 Sherburne Ave, St Paul, MN 55104, USA",44.956397,-93.129851,True
152,88.0,70x thomas av,"700 Thomas Ave W, St Paul, MN 55104, USA",44.9590901,-93.1298163,True
153,88.0,70x university av w,"700 University Ave W, St Paul, MN 55104, USA",44.9556528,-93.1296954,True
154,88.0,70x vanburen av,"700 Van Buren Ave, St Paul, MN 55104, USA",44.9618148,-93.129843,True
155,88.0,7xx charles av,"705 Charles Ave, St Paul, MN 55104, USA",44.9577733,-93.13000079999999,True
156,88.0,71x avon st n,"710 N Avon St, St Paul, MN 55104, USA",44.962651,-93.1336299,True
157,88.0,71x blair av,"710 Blair Ave, St Paul, MN 55104, USA",44.96095990000001,-93.13021049999999,True
158,88.0,71x charles av,"710 Charles Ave, St Paul, MN 55104, USA",44.9573359,-93.13018749999999,True
159,88.0,71x dale st n,"710 Dale St N, St Paul, MN 55103, USA",44.9626407,-93.1260312,True
160,88.0,71x edmund av,"710 Edmund Ave W, St Paul, MN 55104, USA",44.9582647,-93.1301909,True
161,88.0,71x lafond av,"710 Lafond Ave, St Paul, MN 55104, USA",44.96004869999999,-93.1302288,True
162,88.0,71x minnehaha av w,"710 W Minnehaha Ave, St Paul, MN 55104, USA",44.96273,-93.1302657,True
163,88.0,71x sherburne av,"710 Sherburne Ave, St Paul, MN 55104, USA",44.9564432,-93.1301952,True
164,88.0,71x stalbans st n,"710 St Albans St N, St Paul, MN 55103, USA",44.9702624,-93.1285082,True
165,88.0,71x thomas av,"710 Thomas Ave W, St Paul, MN 55104, USA",44.959091,-93.13014919999999,True
166,88.0,71x university av w,"710 University Ave W, St Paul, MN 55104, USA",44.9554126,-93.1304859,True
167,88.0,71x vanburen av,"710 Van Buren Ave, St Paul, MN 55104, USA",44.9619075,-93.1301962,True
168,88.0,72x arcade st,"720 Arcade St, St Paul, MN 55106, USA",44.9630611,-93.0659673,False
169,88.0,72x charles av,"720 Charles Ave, St Paul, MN 55104, USA",44.9573144,-93.1305617,True
170,88.0,72x edmund av,"720 Edmund Ave W, St Paul, MN 55104, USA",44.958206,-93.1306003,True
171,88.0,72x lafond av,"720 Lafond Ave, St Paul, MN 55104, USA",44.960051,-93.130568,True
172,88.0,72x minnehaha av w,"720 W Minnehaha Ave, St Paul, MN 55104, USA",44.9627795,-93.1306159,True
173,88.0,72x sherburne av,"720 Sherburne Ave, St Paul, MN 55104, USA",44.9564211,-93.1305675,True
174,88.0,72x thomas av,"720 Thomas Ave W, St Paul, MN 55104, USA",44.95916200000001,-93.1306821,True
175,88.0,72x university av w,"720 University Ave W, St Paul, MN 55104, USA",44.955408,-93.1307126,True
176,88.0,72x vanburen av,"720 Van Buren Ave, St Paul, MN 55104, USA",44.9618184,-93.13060420000001,True
177,88.0,73x blair av,"730 Blair Ave, St Paul, MN 55104, USA",44.96089600000001,-93.130953,True
178,88.0,73x charles av,"730 Charles Ave, St Paul, MN 55104, USA",44.9573331,-93.1309536,True
179,88.0,73x edmund av,"730 Edmund Ave W, St Paul, MN 55104, USA",44.9582531,-93.13094620000001,True
180,88.0,73x lafond av,"730 Lafond Ave, St Paul, MN 55104, USA",44.9600646,-93.1309773,True
181,88.0,73x minnehaha av w,"730 W Minnehaha Ave, St Paul, MN 55104, USA",44.96275780000001,-93.1310754,True
182,88.0,73x sherburne av,"730 Sherburne Ave, St Paul, MN 55104, USA",44.9564592,-93.1309397,True
183,88.0,73x thomas av,"730 Thomas Ave W, St Paul, MN 55104, USA",44.9591534,-93.1309956,True
184,88.0,73x university av w,"730 University Ave W, St Paul, MN 55104, USA",44.95539609999999,-93.1310034,True
185,88.0,73x vanburen av,"730 Van Buren Ave, St Paul, MN 55104, USA",44.9618203,-93.1310068,True
186,88.0,74x blair av,"740 Blair Ave, St Paul, MN 55104, USA",44.96095769999999,-93.1316253,True
187,88.0,74x charles av,"740 Charles Ave, St Paul, MN 55104, USA",44.957534,-93.1314664,True
188,88.0,74x edmund av,"740 Edmund Ave W, St Paul, MN 55104, USA",44.958178,-93.13165219999999,True
189,88.0,74x lafond av,"740 Lafond Ave, St Paul, MN 55104, USA",44.96025299999999,-93.131452,True
190,88.0,74x minnehaha av w,"740 W Minnehaha Ave, St Paul, MN 55104, USA",44.9629747,-93.1314864,True
191,88.0,74x sherburne av,"740 Sherburne Ave, St Paul, MN 55104, USA",44.9566281,-93.1314621,True
192,88.0,74x thomas av,"740 Thomas Ave W, St Paul, MN 55104, USA",44.95935550000001,-93.1314716,True
193,88.0,74x university av w,"740 University Ave W, St Paul, MN 55104, USA",44.9554167,-93.1317626,True
194,88.0,74x vanburen av,"740 Van Buren Ave, St Paul, MN 55104, USA",44.9620682,-93.1314798,True
195,88.0,75x blair av,"750 Blair Ave, St Paul, MN 55104, USA",44.9609491,-93.1319389,True
196,88.0,75x charles av,"750 Charles Ave, St Paul, MN 55104, USA",44.9573426,-93.13193729999999,True
197,88.0,75x edmund av,"750 Edmund Ave W, St Paul, MN 55104, USA",44.958175,-93.131822,True
198,88.0,75x lafond av,"750 Lafond Ave, St Paul, MN 55104, USA",44.9600559,-93.1320091,True
199,88.0,75x sherburne av,"750 Sherburne Ave, St Paul, MN 55104, USA",44.95643140000001,-93.13195859999999,True
200,88.0,75x thomas av,"750 Thomas Ave W, St Paul, MN 55104, USA",44.959164,-93.1319401,True
201,88.0,75x university av w,"750 University Ave W, St Paul, MN 55104, USA",44.9554676,-93.13189980000001,True
202,88.0,75x vanburen av,"750 Van Buren Ave, St Paul, MN 55104, USA",44.9618956,-93.1319638,True
203,88.0,76x blair av,"760 Blair Ave, St Paul, MN 55104, USA",44.9608929,-93.13237319999999,True
204,88.0,76x charles av,"760 Charles Ave, St Paul, MN 55104, USA",44.9573298,-93.1324075,True
205,88.0,76x edmund av,"760 Edmund Ave W, St Paul, MN 55104, USA",44.958175,-93.13221,True
206,88.0,76x lafond av,"760 Lafond Ave, St Paul, MN 55104, USA",44.9600566,-93.13233609999999,True
207,88.0,76x sherburne av,"760 Sherburne Ave, St Paul, MN 55104, USA",44.9564278,-93.13231130000001,True
208,88.0,76x thomas av,"760 Thomas Ave W, St Paul, MN 55104, USA",44.95910079999999,-93.1323427,True
209,88.0,76x vanburen av,"760 Van Buren Ave, St Paul, MN 55104, USA",44.96180500000001,-93.13240499999999,True
210,88.0,77x blair av,"770 Blair Ave, St Paul, MN 55104, USA",44.960964,-93.13272669999999,True
211,88.0,77x charles av,"770 Charles Ave, St Paul, MN 55104, USA",44.9573212,-93.13272099999999,True
212,88.0,77x edmund av,"770 Edmund Ave W, St Paul, MN 55104, USA",44.9581767,-93.13273439999999,True
213,88.0,77x lafond av,"770 Lafond Ave, St Paul, MN 55104, USA",44.9600577,-93.13279849999999,True
214,88.0,77x minnehaha av w,"770 W Minnehaha Ave, St Paul, MN 55104, USA",44.9627491,-93.13272549999999,True
215,88.0,77x sherburne av,"770 Sherburne Ave, St Paul, MN 55104, USA",44.95644739999999,-93.1327031,True
216,88.0,77x thomas av,"770 Thomas Ave W, St Paul, MN 55104, USA",44.9591425,-93.1327239,True
217,88.0,77x vanburen av,"770 Van Buren Ave, St Paul, MN 55104, USA",44.9618742,-93.13274770000001,True
218,88.0,78x blair av,"780 Blair Ave, St Paul, MN 55104, USA",44.96089449999999,-93.1331242,True
219,88.0,78x charles av,"780 Charles Ave, St Paul, MN 55104, USA",44.9573446,-93.13319519999999,True
220,88.0,78x edmund av,"780 Edmund Ave W, St Paul, MN 55104, USA",44.958258,-93.13309869999999,True
221,88.0,78x lafond av,"780 Lafond Ave, St Paul, MN 55104, USA",44.9602571,-93.1331222,True
222,88.0,78x minnehaha av w,"780 W Minnehaha Ave, St Paul, MN 55104, USA",44.9627074,-93.1331022,True
223,88.0,78x sherburne av,"780 Sherburne Ave, St Paul, MN 55104, USA",44.9563804,-93.1331538,True
224,88.0,78x thomas av,"780 Thomas Ave W, St Paul, MN 55104, USA",44.959166,-93.1331981,True
225,88.0,78x university av w,"780 University Ave W, St Paul, MN 55104, USA",44.95541559999999,-93.1331342,True
226,88.0,78x vanburen av,"780 Van Buren Ave, St Paul, MN 55104, USA",44.9618134,-93.1331361,True
227,88.0,79x blair av,"790 Blair Ave, St Paul, MN 55104, USA",44.9609788,-93.13351449999999,True
228,88.0,79x charles av,"790 Charles Ave, St Paul, MN 55104, USA",44.9572917,-93.1335567,True
229,88.0,79x edmund av,"790 Edmund Ave W, St Paul, MN 55104, USA",44.9582483,-93.1334514,True
230,88.0,79x lafond av,"790 Lafond Ave, St Paul, MN 55104, USA",44.9602593,-93.1335551,True
231,88.0,79x minnehaha av w,"790 W Minnehaha Ave, St Paul, MN 55104, USA",44.96272769999999,-93.1335094,True
232,88.0,79x sherburne av,"790 Sherburne Ave, St Paul, MN 55104, USA",44.9563895,-93.1334869,True
233,88.0,79x thomas av,"790 Thomas Ave W, St Paul, MN 55104, USA",44.9591585,-93.1334724,True
234,88.0,79x university av w,"790 University Ave W, St Paul, MN 55104, USA",44.95541410000001,-93.1337259,True
235,88.0,79x vanburen av,"790 Van Buren Ave, St Paul, MN 55104, USA",44.961889,-93.1335355,True
236,88.0,80x charles av,"800 Charles Ave, St Paul, MN 55104, USA",44.9573178,-93.134175,True
237,88.0,80x edmund av,"800 Edmund Ave W, St Paul, MN 55104, USA",44.9584412,-93.1340082,True
238,88.0,80x lafond av,"800 Lafond Ave, St Paul, MN 55104, USA",44.9598677,-93.13417899999999,True
239,88.0,80x minnehaha av w,"800 W Minnehaha Ave, St Paul, MN 55104, USA",44.9627821,-93.1341837,True
240,88.0,80x sherburne av,"800 Sherburne Ave, St Paul, MN 55104, USA",44.9566312,-93.1339871,True
241,88.0,80x thomas av,"800 Thomas Ave W, St Paul, MN 55104, USA",44.9593554,-93.13401019999999,True
242,88.0,8xx blair av,"805 Blair Ave, St Paul, MN 55104, USA",44.9614414,-93.134264,True
243,88.0,8xx thomas av,"805 Thomas Ave W, St Paul, MN 55104, USA",44.9596108,-93.1342434,True
244,88.0,81x blair av,"810 Blair Ave, St Paul, MN 55104, USA",44.9609894,-93.1344591,True
245,88.0,81x charles av,"810 Charles Ave, St Paul, MN 55104, USA",44.9572775,-93.1345176,True
246,88.0,81x edmund av,"810 Edmund Ave W, St Paul, MN 55104, USA",44.95818939999999,-93.1345097,True
247,88.0,81x lafond av,"810 Lafond Ave, St Paul, MN 55104, USA",44.959988,-93.13455429999999,True
248,88.0,81x minnehaha av w,"810 W Minnehaha Ave, St Paul, MN 55104, USA",44.9628098,-93.1345013,True
249,88.0,81x sherburne av,"810 Sherburne Ave, St Paul, MN 55104, USA",44.9564168,-93.1344862,True
250,88.0,81x thomas av,"810 Thomas Ave W, St Paul, MN 55104, USA",44.95913059999999,-93.1344914,True
251,88.0,81x university av w,"810 University Ave W, St Paul, MN 55104, USA",44.9555606,-93.1343383,True
252,88.0,81x vanburen av,"810 Van Buren Ave, St Paul, MN 55104, USA",44.9618633,-93.1344762,True
253,88.0,82x blair av,"820 Blair Ave, St Paul, MN 55104, USA",44.9609147,-93.13489009999999,True
254,88.0,82x charles av,"820 Charles Ave, St Paul, MN 55104, USA",44.9572787,-93.1348652,True
255,88.0,82x edmund av,"820 Edmund Ave W, St Paul, MN 55104, USA",44.9581903,-93.13486449999999,True
256,88.0,82x lafond av,"820 Lafond Ave, St Paul, MN 55104, USA",44.9600653,-93.13494759999999,True
257,88.0,82x minnehaha av w,"820 W Minnehaha Ave, St Paul, MN 55104, USA",44.9627081,-93.1348787,True
258,88.0,82x sherburne av,"820 Sherburne Ave, St Paul, MN 55104, USA",44.95641070000001,-93.1348584,True
259,88.0,82x thomas av,"820 Thomas Ave W, St Paul, MN 55104, USA",44.9590879,-93.1348636,True
