Ward,Precinct1,Precinct,June_1st Registered,Total Votes,Vote_Yes,Vote_No,Yes%,Voting %
4,W-4 P-6,Saint Paul W-4 P-6,1243,439,178,261,40.55%,35.64%
4,W-4 P-7,Saint Paul W-4 P-7,1811,920,331,589,35.98%,50.47%
4,W-4 P-8,Saint Paul W-4 P-8,2315,995,613,382,61.61%,43.20%
4,W-4 P-9,Saint Paul W-4 P-9,1700,648,436,212,67.28%,39.29%
4,W-4 P-10,Saint Paul W-4 P-10,2117,1064,591,473,55.55%,50.35%
4,W-4 P-11,Saint Paul W-4 P-11,2231,1067,586,481,54.92%,48.45%
4,W-4 P-12,Saint Paul W-4 P-12,1842,605,426,179,70.41%,33.17%
4,W-4 P-13,Saint Paul W-4 P-13,1502,568,339,229,59.68%,38.75%
4,W-4 P-14,Saint Paul W-4 P-14,1561,683,447,236,65.45%,43.37%
4,W-4 P-15,Saint Paul W-4 P-15,1600,738,458,280,62.06%,46.56%
5,W-5 P-1,Saint Paul W-5 P-1,2100,874,462,412,52.86%,42.62%
5,W-5 P-2,Saint Paul W-5 P-2,2589,1351,653,698,48.33%,52.68%
5,W-5 P-3,Saint Paul W-5 P-3,2128,933,517,416,55.41%,44.41%
5,W-5 P-4,Saint Paul W-5 P-4,3798,864,502,362,58.10%,22.91%
5,W-5 P-5,Saint Paul W-5 P-5,2106,234,154,80,65.81%,11.73%
5,W-5 P-6,Saint Paul W-5 P-6,2011,432,213,219,49.31%,21.83%
5,W-5 P-7,Saint Paul W-5 P-7,1331,241,126,115,52.28%,18.86%
5,W-5 P-8,Saint Paul W-5 P-8,2559,381,200,181,52.49%,15.08%
5,W-5 P-9,Saint Paul W-5 P-9,1917,333,189,144,56.76%,17.89%
5,W-5 P-10,Saint Paul W-5 P-10,681,100,65,35,65.00%,14.98%
6,W-6 P-1,Saint Paul W-6 P-1,1526,482,246,236,51.04%,31.91%
6,W-6 P-2,Saint Paul W-6 P-2,1342,553,303,250,54.79%,40.98%
6,W-6 P-3,Saint Paul W-6 P-3,1685,363,153,210,42.15%,22.61%
6,W-6 P-4,Saint Paul W-6 P-4,2050,345,180,165,52.17%,16.93%
6,W-6 P-5,Saint Paul W-6 P-5,2444,459,227,232,49.46%,18.82%
6,W-6 P-6,Saint Paul W-6 P-6,2749,475,259,216,54.53%,17.39%
6,W-6 P-7,Saint Paul W-6 P-7,769,109,88,21,80.73%,14.17%
6,W-6 P-8,Saint Paul W-6 P-8,1662,214,122,92,57.01%,13.06%
6,W-6 P-9,Saint Paul W-6 P-9,2611,522,251,271,48.08%,20.15%
6,W-6 P-10,Saint Paul W-6 P-10,1125,272,127,145,46.69%,24.27%
6,W-6 P-11,Saint Paul W-6 P-11,1833,469,199,270,42.43%,26.02%
6,W-6 P-12,Saint Paul W-6 P-12,1298,304,155,149,50.99%,22.73%
7,W-7 P-1,Saint Paul W-7 P-1,2248,523,350,173,66.92%,23.62%
7,W-7 P-2,Saint Paul W-7 P-2,1399,245,137,108,55.92%,17.80%
7,W-7 P-3,Saint Paul W-7 P-3,1649,330,192,138,58.18%,20.50%
7,W-7 P-4,Saint Paul W-7 P-4,975,210,109,101,51.90%,21.64%
7,W-7 P-5,Saint Paul W-7 P-5,1461,453,224,229,49.45%,31.28%
7,W-7 P-6,Saint Paul W-7 P-6,1518,282,150,132,53.19%,19.24%
7,W-7 P-7,Saint Paul W-7 P-7,1420,293,167,126,57.00%,20.99%
7,W-7 P-8,Saint Paul W-7 P-8,1833,398,178,220,44.72%,21.99%
7,W-7 P-9,Saint Paul W-7 P-9,1681,405,192,213,47.41%,24.09%
7,W-7 P-10,Saint Paul W-7 P-10,1582,401,192,209,47.88%,26.30%
7,W-7 P-11,Saint Paul W-7 P-11,1509,232,160,72,68.97%,15.57%
7,W-7 P-12,Saint Paul W-7 P-12,2897,797,401,396,50.31%,27.86%
7,W-7 P-13,Saint Paul W-7 P-13,2071,696,318,378,45.69%,33.66%
