Contest,PrecinctName,VotingType,Choice,Party,Votes,VotesPercent,TotalVotes,TotalVotesPercent,CastTotal,CastTotalPercent,MainTotal,MainTotalPercent,UnderVotes,UnderVotesPercent,TotalUnderVotes,TotalUnderVotesPercent,OverVotes,OverVotesPercent,TotalOverVotes,TotalOverVotesPercent,InvalidVotes,InvalidVotesPercent,TotalInvalidVotes,TotalInvalidVotesPercent,RejectedWriteInVotes,RejectedWriteInVotesPercent,TotalRejectedWriteInVotes,TotalRejectedWriteInVotesPercent,UnresolvedWriteInVotes,UnresolvedWriteInVotesPercent,TotalUnresolvedWriteInVotes,TotalUnresolvedWriteInVotesPercent
School Board Member Independent School District No. 621 (Mounds View Public Schools) - Vote for Up to Four,Arden Hills P-1 - ISD 621,Absentee Voting,Jonathan Weinhagen,,72,12.50%,395,12.19%,357,61.98%,1903,58.73%,215,37.33%,1333,41.14%,1,0.69%,1,0.12%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
School Board Member Independent School District No. 621 (Mounds View Public Schools) - Vote for Up to Four,Arden Hills P-1 - ISD 621,Election Day Voting,Jonathan Weinhagen,,323,12.12%,395,12.19%,1546,58.03%,1903,58.73%,1118,41.97%,1333,41.14%,0,0.00%,1,0.12%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
School District Question 1,Arden Hills P-1 - ISD 621,Absentee Voting,Yes,,96,66.67%,513,63.33%,141,97.92%,799,98.64%,3,2.08%,11,1.36%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
School District Question 1,Arden Hills P-1 - ISD 621,Election Day Voting,Yes,,417,62.61%,513,63.33%,658,98.80%,799,98.64%,8,1.20%,11,1.36%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
School District Question 1,Arden Hills P-1 - ISD 621,Absentee Voting,No,,45,31.25%,286,35.31%,141,97.92%,799,98.64%,3,2.08%,11,1.36%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
School District Question 1,Arden Hills P-1 - ISD 621,Election Day Voting,No,,241,36.19%,286,35.31%,658,98.80%,799,98.64%,8,1.20%,11,1.36%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Special Election for County Commissioner District 1 - Vote for One,Arden Hills P-1 - ISD 623,Absentee Voting,Nicole Joy Frethem,,5,100.00%,31,60.78%,5,100.00%,51,100.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Special Election for County Commissioner District 1 - Vote for One,Arden Hills P-1 - ISD 623,Election Day Voting,Nicole Joy Frethem,,26,56.52%,31,60.78%,46,100.00%,51,100.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Special Election for County Commissioner District 1 - Vote for One,Arden Hills P-1 - ISD 623,Absentee Voting,Randy Jessup,,0,0.00%,20,39.22%,5,100.00%,51,100.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Special Election for County Commissioner District 1 - Vote for One,Arden Hills P-1 - ISD 623,Election Day Voting,Randy Jessup,,20,43.48%,20,39.22%,46,100.00%,51,100.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
School Board Member Independent School District No. 623 (Roseville Area Schools) - Vote for Up to Three,Arden Hills P-1 - ISD 623,Absentee Voting,Mike Boguszewski,,5,33.33%,27,17.65%,15,100.00%,88,57.52%,0,0.00%,65,42.48%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
School Board Member Independent School District No. 623 (Roseville Area Schools) - Vote for Up to Three,Arden Hills P-1 - ISD 623,Election Day Voting,Mike Boguszewski,,22,15.94%,27,17.65%,73,52.90%,88,57.52%,65,47.10%,65,42.48%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
School Board Member Independent School District No. 623 (Roseville Area Schools) - Vote for Up to Three,Arden Hills P-1 - ISD 623,Absentee Voting,Todd Anderson,,5,33.33%,28,18.30%,15,100.00%,88,57.52%,0,0.00%,65,42.48%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
School Board Member Independent School District No. 623 (Roseville Area Schools) - Vote for Up to Three,Arden Hills P-1 - ISD 623,Election Day Voting,Todd Anderson,,23,16.67%,28,18.30%,73,52.90%,88,57.52%,65,47.10%,65,42.48%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
School Board Member Independent School District No. 623 (Roseville Area Schools) - Vote for Up to Three,Arden Hills P-1 - ISD 623,Absentee Voting,Rose Chu,,5,33.33%,33,21.57%,15,100.00%,88,57.52%,0,0.00%,65,42.48%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
School Board Member Independent School District No. 623 (Roseville Area Schools) - Vote for Up to Three,Arden Hills P-1 - ISD 623,Election Day Voting,Rose Chu,,28,20.29%,33,21.57%,73,52.90%,88,57.52%,65,47.10%,65,42.48%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Special Election for County Commissioner District 1 - Vote for One,Arden Hills P-2,Absentee Voting,Nicole Joy Frethem,,40,65.57%,196,49.49%,59,96.72%,379,95.71%,2,3.28%,17,4.29%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Special Election for County Commissioner District 1 - Vote for One,Arden Hills P-2,Election Day Voting,Nicole Joy Frethem,,156,46.57%,196,49.49%,320,95.52%,379,95.71%,15,4.48%,17,4.29%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Special Election for County Commissioner District 1 - Vote for One,Arden Hills P-2,Absentee Voting,Randy Jessup,,19,31.15%,183,46.21%,59,96.72%,379,95.71%,2,3.28%,17,4.29%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Special Election for County Commissioner District 1 - Vote for One,Arden Hills P-2,Election Day Voting,Randy Jessup,,164,48.96%,183,46.21%,320,95.52%,379,95.71%,15,4.48%,17,4.29%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
School Board Member Independent School District No. 621 (Mounds View Public Schools) - Vote for Up to Four,Arden Hills P-2,Absentee Voting,Derek Whitcomb,,18,7.38%,128,8.08%,173,70.90%,1008,63.64%,71,29.10%,576,36.36%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
School Board Member Independent School District No. 621 (Mounds View Public Schools) - Vote for Up to Four,Arden Hills P-2,Election Day Voting,Derek Whitcomb,,110,8.21%,128,8.08%,835,62.31%,1008,63.64%,505,37.69%,576,36.36%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
School Board Member Independent School District No. 621 (Mounds View Public Schools) - Vote for Up to Four,Arden Hills P-2,Absentee Voting,Sandra Westerman,,39,15.98%,223,14.08%,173,70.90%,1008,63.64%,71,29.10%,576,36.36%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
School Board Member Independent School District No. 621 (Mounds View Public Schools) - Vote for Up to Four,Arden Hills P-2,Election Day Voting,Sandra Westerman,,184,13.73%,223,14.08%,835,62.31%,1008,63.64%,505,37.69%,576,36.36%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
School Board Member Independent School District No. 621 (Mounds View Public Schools) - Vote for Up to Four,Arden Hills P-2,Absentee Voting,Heidi Danielson,,43,17.62%,224,14.14%,173,70.90%,1008,63.64%,71,29.10%,576,36.36%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
School Board Member Independent School District No. 621 (Mounds View Public Schools) - Vote for Up to Four,Arden Hills P-2,Election Day Voting,Heidi Danielson,,181,13.51%,224,14.14%,835,62.31%,1008,63.64%,505,37.69%,576,36.36%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
School Board Member Independent School District No. 621 (Mounds View Public Schools) - Vote for Up to Four,Arden Hills P-2,Absentee Voting,James J. DeMay,,33,13.52%,204,12.88%,173,70.90%,1008,63.64%,71,29.10%,576,36.36%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
School Board Member Independent School District No. 621 (Mounds View Public Schools) - Vote for Up to Four,Arden Hills P-2,Election Day Voting,James J. DeMay,,171,12.76%,204,12.88%,835,62.31%,1008,63.64%,505,37.69%,576,36.36%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
School Board Member Independent School District No. 621 (Mounds View Public Schools) - Vote for Up to Four,Arden Hills P-2,Absentee Voting,Jonathan Weinhagen,,40,16.39%,229,14.46%,173,70.90%,1008,63.64%,71,29.10%,576,36.36%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
School Board Member Independent School District No. 621 (Mounds View Public Schools) - Vote for Up to Four,Arden Hills P-2,Election Day Voting,Jonathan Weinhagen,,189,14.10%,229,14.46%,835,62.31%,1008,63.64%,505,37.69%,576,36.36%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
School District Question 1,Arden Hills P-2,Absentee Voting,Yes,,45,73.77%,243,61.36%,60,98.36%,392,98.99%,1,1.64%,4,1.01%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
School District Question 1,Arden Hills P-2,Election Day Voting,Yes,,198,59.10%,243,61.36%,332,99.10%,392,98.99%,3,0.90%,4,1.01%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
School District Question 1,Arden Hills P-2,Absentee Voting,No,,15,24.59%,149,37.63%,60,98.36%,392,98.99%,1,1.64%,4,1.01%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
School District Question 1,Arden Hills P-2,Election Day Voting,No,,134,40.00%,149,37.63%,332,99.10%,392,98.99%,3,0.90%,4,1.01%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Special Election for County Commissioner District 1 - Vote for One,Arden Hills P-3,Absentee Voting,Nicole Joy Frethem,,79,54.48%,318,48.33%,138,95.17%,628,95.44%,7,4.83%,30,4.56%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Special Election for County Commissioner District 1 - Vote for One,Arden Hills P-3,Election Day Voting,Nicole Joy Frethem,,239,46.59%,318,48.33%,490,95.52%,628,95.44%,23,4.48%,30,4.56%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Special Election for County Commissioner District 1 - Vote for One,Arden Hills P-3,Absentee Voting,Randy Jessup,,59,40.69%,310,47.11%,138,95.17%,628,95.44%,7,4.83%,30,4.56%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Special Election for County Commissioner District 1 - Vote for One,Arden Hills P-3,Election Day Voting,Randy Jessup,,251,48.93%,310,47.11%,490,95.52%,628,95.44%,23,4.48%,30,4.56%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
School Board Member Independent School District No. 621 (Mounds View Public Schools) - Vote for Up to Four,Arden Hills P-3,Absentee Voting,Derek Whitcomb,,53,9.14%,233,8.85%,396,68.28%,1708,64.89%,184,31.72%,924,35.11%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
School Board Member Independent School District No. 621 (Mounds View Public Schools) - Vote for Up to Four,Arden Hills P-3,Election Day Voting,Derek Whitcomb,,180,8.77%,233,8.85%,1312,63.94%,1708,64.89%,740,36.06%,924,35.11%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
School Board Member Independent School District No. 621 (Mounds View Public Schools) - Vote for Up to Four,Arden Hills P-3,Absentee Voting,Sandra Westerman,,95,16.38%,407,15.46%,396,68.28%,1708,64.89%,184,31.72%,924,35.11%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
School Board Member Independent School District No. 621 (Mounds View Public Schools) - Vote for Up to Four,Arden Hills P-3,Election Day Voting,Sandra Westerman,,312,15.20%,407,15.46%,1312,63.94%,1708,64.89%,740,36.06%,924,35.11%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
School Board Member Independent School District No. 621 (Mounds View Public Schools) - Vote for Up to Four,Arden Hills P-3,Absentee Voting,Heidi Danielson,,96,16.55%,404,15.35%,396,68.28%,1708,64.89%,184,31.72%,924,35.11%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
School Board Member Independent School District No. 621 (Mounds View Public Schools) - Vote for Up to Four,Arden Hills P-3,Election Day Voting,Heidi Danielson,,308,15.01%,404,15.35%,1312,63.94%,1708,64.89%,740,36.06%,924,35.11%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
School Board Member Independent School District No. 621 (Mounds View Public Schools) - Vote for Up to Four,Arden Hills P-3,Absentee Voting,James J. DeMay,,68,11.72%,314,11.93%,396,68.28%,1708,64.89%,184,31.72%,924,35.11%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
School Board Member Independent School District No. 621 (Mounds View Public Schools) - Vote for Up to Four,Arden Hills P-3,Election Day Voting,James J. DeMay,,246,11.99%,314,11.93%,1312,63.94%,1708,64.89%,740,36.06%,924,35.11%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
School Board Member Independent School District No. 621 (Mounds View Public Schools) - Vote for Up to Four,Arden Hills P-3,Absentee Voting,Jonathan Weinhagen,,84,14.48%,350,13.30%,396,68.28%,1708,64.89%,184,31.72%,924,35.11%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
School Board Member Independent School District No. 621 (Mounds View Public Schools) - Vote for Up to Four,Arden Hills P-3,Election Day Voting,Jonathan Weinhagen,,266,12.96%,350,13.30%,1312,63.94%,1708,64.89%,740,36.06%,924,35.11%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
School District Question 1,Arden Hills P-3,Absentee Voting,Yes,,106,73.10%,426,64.74%,144,99.31%,654,99.39%,1,0.69%,4,0.61%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
School District Question 1,Arden Hills P-3,Election Day Voting,Yes,,320,62.38%,426,64.74%,510,99.42%,654,99.39%,3,0.58%,4,0.61%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
School District Question 1,Arden Hills P-3,Absentee Voting,No,,38,26.21%,228,34.65%,144,99.31%,654,99.39%,1,0.69%,4,0.61%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
School District Question 1,Arden Hills P-3,Election Day Voting,No,,190,37.04%,228,34.65%,510,99.42%,654,99.39%,3,0.58%,4,0.61%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Special Election for County Commissioner District 1 - Vote for One,Blaine W-1 P-9,Absentee Voting,Nicole Joy Frethem,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Special Election for County Commissioner District 1 - Vote for One,Blaine W-1 P-9,Election Day Voting,Nicole Joy Frethem,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Special Election for County Commissioner District 1 - Vote for One,Blaine W-1 P-9,Absentee Voting,Randy Jessup,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Special Election for County Commissioner District 1 - Vote for One,Blaine W-1 P-9,Election Day Voting,Randy Jessup,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
School Board Member Independent School District No. 621 (Mounds View Public Schools) - Vote for Up to Four,Blaine W-1 P-9,Absentee Voting,Derek Whitcomb,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
School Board Member Independent School District No. 621 (Mounds View Public Schools) - Vote for Up to Four,Blaine W-1 P-9,Election Day Voting,Derek Whitcomb,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
School Board Member Independent School District No. 621 (Mounds View Public Schools) - Vote for Up to Four,Blaine W-1 P-9,Absentee Voting,Sandra Westerman,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
School Board Member Independent School District No. 621 (Mounds View Public Schools) - Vote for Up to Four,Blaine W-1 P-9,Election Day Voting,Sandra Westerman,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
School Board Member Independent School District No. 621 (Mounds View Public Schools) - Vote for Up to Four,Blaine W-1 P-9,Absentee Voting,Heidi Danielson,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
School Board Member Independent School District No. 621 (Mounds View Public Schools) - Vote for Up to Four,Blaine W-1 P-9,Election Day Voting,Heidi Danielson,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
School Board Member Independent School District No. 621 (Mounds View Public Schools) - Vote for Up to Four,Blaine W-1 P-9,Absentee Voting,James J. DeMay,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
School Board Member Independent School District No. 621 (Mounds View Public Schools) - Vote for Up to Four,Blaine W-1 P-9,Election Day Voting,James J. DeMay,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
School Board Member Independent School District No. 621 (Mounds View Public Schools) - Vote for Up to Four,Blaine W-1 P-9,Absentee Voting,Jonathan Weinhagen,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
School Board Member Independent School District No. 621 (Mounds View Public Schools) - Vote for Up to Four,Blaine W-1 P-9,Election Day Voting,Jonathan Weinhagen,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
School District Question 1,Blaine W-1 P-9,Absentee Voting,Yes,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
School District Question 1,Blaine W-1 P-9,Election Day Voting,Yes,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
School District Question 1,Blaine W-1 P-9,Absentee Voting,No,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
School District Question 1,Blaine W-1 P-9,Election Day Voting,No,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Mayor City of Falcon Heights - Vote for One,Falcon Heights P-1,Absentee Voting,Dave Thomas,,12,48.00%,107,26.03%,24,96.00%,399,97.08%,1,4.00%,12,2.92%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Mayor City of Falcon Heights - Vote for One,Falcon Heights P-1,Election Day Voting,Dave Thomas,,95,24.61%,107,26.03%,375,97.15%,399,97.08%,11,2.85%,12,2.92%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Mayor City of Falcon Heights - Vote for One,Falcon Heights P-1,Absentee Voting,Randy Gustafson,,12,48.00%,292,71.05%,24,96.00%,399,97.08%,1,4.00%,12,2.92%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
