Ward,PrecinctNum,Precinct,Bernie Vote,VoteTotal,Sanders%,Warren%,Biden%,Winner,Pro_Diff
11,7,Minneapolis W-11 P-7,292,1142,0.26,0.27,0.38,Biden,-0.01
11,8,Minneapolis W-11 P-8,318,973,0.33,0.27,0.32,Sanders,0.05
11,9,Minneapolis W-11 P-9,201,472,0.43,0.22,0.26,Sanders,0.20
11,10,Minneapolis W-11 P-10,218,826,0.26,0.26,0.37,Biden,0.00
12,1,Minneapolis W-12 P-1,532,1444,0.37,0.34,0.23,Sanders,0.03
12,2,Minneapolis W-12 P-2,426,1308,0.33,0.32,0.30,Sanders,0.01
12,3,Minneapolis W-12 P-3,547,1602,0.34,0.29,0.28,Sanders,0.05
12,4,Minneapolis W-12 P-4,261,814,0.32,0.31,0.28,Sanders,0.01
12,5,Minneapolis W-12 P-5,264,996,0.27,0.35,0.29,Warren,-0.09
12,6,Minneapolis W-12 P-6,224,791,0.28,0.28,0.34,Biden,0.01
12,7,Minneapolis W-12 P-7,5,46,0.11,0.07,0.33,Biden,0.04
12,8,Minneapolis W-12 P-8,316,689,0.46,0.30,0.20,Sanders,0.15
12,9,Minneapolis W-12 P-9,372,930,0.40,0.33,0.21,Sanders,0.07
12,10,Minneapolis W-12 P-10,357,865,0.41,0.23,0.29,Sanders,0.18
12,11,Minneapolis W-12 P-11,282,796,0.35,0.28,0.28,Sanders,0.07
12,12,Minneapolis W-12 P-12,586,1515,0.39,0.32,0.20,Sanders,0.07
12,13,Minneapolis W-12 P-13,174,627,0.28,0.30,0.33,Biden,-0.03
13,1,Minneapolis W-13 P-1,328,1031,0.32,0.20,0.36,Biden,0.12
13,2,Minneapolis W-13 P-2,147,735,0.20,0.27,0.41,Biden,-0.07
13,3,Minneapolis W-13 P-3,210,965,0.22,0.23,0.41,Biden,-0.01
13,4,Minneapolis W-13 P-4,254,955,0.27,0.28,0.34,Biden,-0.01
13,5,Minneapolis W-13 P-5,168,905,0.19,0.24,0.44,Biden,-0.06
13,6,Minneapolis W-13 P-6,217,1190,0.18,0.24,0.44,Biden,-0.06
13,7,Minneapolis W-13 P-7,335,1576,0.21,0.25,0.43,Biden,-0.03
13,8,Minneapolis W-13 P-8,188,1013,0.19,0.29,0.42,Biden,-0.11
13,9,Minneapolis W-13 P-9,371,1294,0.29,0.26,0.34,Biden,0.02
13,10,Minneapolis W-13 P-10,146,697,0.21,0.27,0.41,Biden,-0.06
13,11,Minneapolis W-13 P-11,183,923,0.20,0.24,0.46,Biden,-0.04
13,12,Minneapolis W-13 P-12,128,671,0.19,0.26,0.44,Biden,-0.07
13,13,Minneapolis W-13 P-13,164,986,0.17,0.26,0.45,Biden,-0.09
